id,barrio,tipo_propiedad,tipo_habitacion,capacidad,banios,dormitorios,camas,precio_ars,minimo_noches,cantidad_resenias,puntaje_resenias,superanfitrion,latitud,longitud,noches_ocupadas_anio
11508,Palermo,Entire condo,Entire home/apt,2,1,1,1,185388,3,52,4.83,si,-34.582,-58.424,36
13851,Belgrano,Entire condo,Entire home/apt,2,1,1,1,101945,2,1,5,no,-34.5617,-58.4441,0
14222,Palermo,Entire rental unit,Entire home/apt,2,,1,,,6,131,4.78,no,-34.5872,-58.4111,36
20062,Palermo,Entire rental unit,Entire home/apt,4,1.5,2,2,235938,2,388,4.94,si,-34.5819,-58.4416,255
24713,San Nicolas,Entire rental unit,Entire home/apt,3,1,1,2,113841,1,393,4.67,si,-34.6025,-58.3781,54
24763,Chacarita,Entire loft,Entire home/apt,2,1,1,1,517941,12,37,4.62,no,-34.5864,-58.4457,0
27631,Recoleta,Entire rental unit,Entire home/apt,3,1,1,3,114645,2,118,4.72,no,-34.5927,-58.3894,6
31216,Belgrano,Entire rental unit,Entire home/apt,2,1,1,1,157287,7,13,5,no,-34.5595,-58.4453,28
31514,Monserrat,Entire loft,Entire home/apt,5,,1,,,1,52,4.31,no,-34.6149,-58.3752,18
379826,Palermo,Entire rental unit,Entire home/apt,1,1,1,2,49343,3,24,4.47,no,-34.5964,-58.4216,24
379839,Palermo,Entire rental unit,Entire home/apt,2,1,1,2,49343,3,52,4.65,no,-34.5968,-58.4203,12
380989,San Nicolas,Entire rental unit,Entire home/apt,2,1,1,1,86480,1,54,4.75,si,-34.608,-58.3794,42
388089,Almagro,Entire rental unit,Entire home/apt,2,,1,,,3,72,4.57,no,-34.5992,-58.4209,66
389270,Palermo,Entire rental unit,Entire home/apt,2,1,1,2,49343,3,74,4.46,no,-34.5949,-58.4209,108
394376,Balvanera,Entire rental unit,Entire home/apt,3,1,2,2,82238,4,50,4.52,si,-34.61,-58.3932,24
394407,Monserrat,Entire rental unit,Entire home/apt,5,2,3,4,217751,4,257,4.81,si,-34.6098,-58.3876,144
396509,Puerto Madero,Entire condo,Entire home/apt,2,,1,,,1,270,4.89,no,-34.6141,-58.3612,48
41608,Palermo,Entire rental unit,Entire home/apt,2,1,,1,168214,2,170,4.8,si,-34.5851,-58.4274,48
161463,Palermo,Entire condo,Entire home/apt,4,2,2,2,325962,3,238,4.92,si,-34.5814,-58.4246,126
166846,Villa Crespo,Entire rental unit,Entire home/apt,4,3,2,2,218830,4,91,4.81,si,-34.5916,-58.4401,24
168298,Balvanera,Entire rental unit,Entire home/apt,4,1.5,2,5,152976,4,27,4.87,no,-34.6045,-58.3945,40
169300,Palermo,Entire condo,Entire home/apt,2,1,1,1,76788,2,75,4.93,no,-34.5783,-58.4303,6
172118,Palermo,Entire loft,Entire home/apt,4,2,2,2,197176,3,94,4.8,si,-34.5874,-58.4219,24
172135,Recoleta,Entire rental unit,Entire home/apt,2,1,1,2,77830,3,129,4.89,si,-34.5898,-58.3979,54
176318,Monserrat,Entire rental unit,Entire home/apt,4,1,2,2,1.30788e+06,4,277,4.82,si,-34.6156,-58.3684,152
42450,Monserrat,Entire condo,Entire home/apt,4,2,2,2,155190,3,244,4.82,no,-34.6158,-58.3717,204
45498,Palermo,Entire rental unit,Entire home/apt,4,1.5,2,2,215273,2,226,4.9,si,-34.5818,-58.4414,174
182031,Almagro,Private room in home,Private room,1,2,,1,31267,6,22,4.91,si,-34.6005,-58.4176,72
186005,Retiro,Entire rental unit,Entire home/apt,6,2,2,5,140773,4,89,4.68,no,-34.598,-58.3769,16
190988,Palermo,Entire rental unit,Entire home/apt,6,2,3,4,149594,9,58,4.78,si,-34.5702,-58.4304,144
192259,Almagro,Private room in home,Private room,1,1.5,3,2,22090,3,59,4.63,no,-34.6059,-58.4209,24
196386,Recoleta,Entire rental unit,Entire home/apt,2,,1,,,3,3,5,si,-34.5915,-58.3916,0
203340,Palermo,Entire rental unit,Entire home/apt,3,1,1,2,148029,3,41,4.88,si,-34.581,-58.425,36
413228,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,53104,7,72,4.85,no,-34.5832,-58.4339,70
413662,Monserrat,Entire condo,Entire home/apt,2,1,1,1,79557,7,471,4.47,si,-34.6112,-58.3837,56
415298,Monserrat,Entire rental unit,Entire home/apt,5,2,2,3,256567,2,148,4.74,no,-34.6148,-58.377,36
415985,Palermo,Entire rental unit,Entire home/apt,3,1,,3,76065,14,26,4.8,si,-34.5807,-58.4239,224
427283,Palermo,Entire rental unit,Entire home/apt,4,2.5,2,4,295794,3,47,4.77,si,-34.5791,-58.4385,24
435818,Recoleta,Entire rental unit,Entire home/apt,2,1,2,1,83697,3,45,4.58,no,-34.5852,-58.4073,0
48089,Recoleta,Entire rental unit,Entire home/apt,4,,2,,,5,111,4.84,no,-34.587,-58.3879,0
48535,Retiro,Entire rental unit,Entire home/apt,2,,1,,28594,90,0,,no,-34.5962,-58.3753,0
53097,Monserrat,Entire loft,Entire home/apt,4,1,2,3,99434,1,46,4.2,no,-34.6149,-58.3752,36
61282,Nuñez,Entire loft,Entire home/apt,2,2,1,1,65760,6,154,4.89,no,-34.554,-58.4675,60
65446,Palermo,Entire condo,Entire home/apt,2,1.5,1,1,276021,3,218,4.96,si,-34.581,-58.4235,36
66939,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,160489,3,387,4.94,si,-34.5827,-58.425,138
66940,Palermo,Entire condo,Entire home/apt,2,1,1,1,121613,3,298,4.95,si,-34.5827,-58.4238,120
438557,Almagro,Entire rental unit,Entire home/apt,2,1,1,1,78690,4,46,4.85,si,-34.5984,-58.415,48
438798,Palermo,Entire condo,Entire home/apt,6,1.5,2,3,212324,5,125,4.65,si,-34.5841,-58.4235,30
455717,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,122090,2,55,4.55,no,-34.5888,-58.4121,24
456640,Recoleta,Private room in bed and breakfast,Private room,2,1.5,,1,98142,1,245,4.54,no,-34.5879,-58.3969,78
456644,Recoleta,Private room in rental unit,Private room,2,1.5,,1,101565,1,166,4.58,no,-34.5877,-58.3952,60
466357,Recoleta,Entire condo,Entire home/apt,3,1,1,2,106657,3,246,4.93,si,-34.5943,-58.3988,126
204628,Palermo,Entire loft,Entire home/apt,2,,1,,105712,4,90,4.92,si,-34.5835,-58.4281,32
205781,Palermo,Entire rental unit,Entire home/apt,5,,2,3,399288,1,18,4.5,no,-34.5795,-58.4302,0
206738,Palermo,Entire rental unit,Entire home/apt,8,1,3,5,458759,1,46,4.63,no,-34.5782,-58.4296,18
225752,Boedo,Private room in home,Private room,2,1,,1,50915,7,2,5,no,-34.6258,-58.4198,0
225905,Recoleta,Entire rental unit,Entire home/apt,3,1,1,2,126347,2,27,4.54,no,-34.5964,-58.3919,6
238619,Recoleta,Entire rental unit,Entire home/apt,2,1,1,1,81050,2,84,4.78,si,-34.5945,-58.4013,108
68489,Palermo,Entire condo,Entire home/apt,3,1,1,1,143169,3,157,4.8,no,-34.5804,-58.4321,12
68800,Recoleta,Entire rental unit,Entire home/apt,12,5.5,4,6,804683,2,98,4.54,no,-34.5928,-58.3876,0
68868,Palermo,Entire condo,Entire home/apt,2,1.5,1,1,200362,3,375,4.96,si,-34.5817,-58.4253,168
69063,Recoleta,Entire rental unit,Entire home/apt,4,1,1,3,133002,1,390,4.68,no,-34.5954,-58.3968,84
239853,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,125825,4,201,4.87,no,-34.5767,-58.4316,32
243320,Villa Crespo,Entire loft,Entire home/apt,3,1,1,3,73041,7,4,4.5,no,-34.5991,-58.4387,14
245895,Palermo,Entire rental unit,Entire home/apt,3,1,1,1,132777,3,59,4.8,si,-34.5813,-58.4248,24
250327,Recoleta,Entire rental unit,Entire home/apt,2,1,1,1,90267,5,114,4.62,si,-34.5907,-58.3991,10
253370,Almagro,Entire rental unit,Entire home/apt,2,1,1,1,50980,1,116,4.69,si,-34.5992,-58.416,30
264769,Palermo,Entire condo,Entire home/apt,2,1,1,1,200362,3,88,4.93,si,-34.5812,-58.4245,36
275933,Palermo,Entire rental unit,Entire home/apt,4,1,2,3,112143,3,167,4.73,no,-34.5804,-58.4075,108
472446,Recoleta,Entire condo,Entire home/apt,3,1,1,3,112284,3,199,4.93,si,-34.5911,-58.3907,120
476044,Palermo,Entire home,Entire home/apt,8,4,4,8,509876,1,305,4.88,si,-34.5872,-58.4312,222
487707,Boca,Entire rental unit,Entire home/apt,2,1,2,1,48378,10,13,4.46,no,-34.6326,-58.3578,20
495595,Constitucion,Entire rental unit,Entire home/apt,2,1,1,1,94968,3,3,4.5,no,-34.6207,-58.3891,0
499565,Palermo,Entire rental unit,Entire home/apt,2,1.5,1,1,84056,1,89,4.93,no,-34.5797,-58.4398,30
499705,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,154182,7,46,4.89,no,-34.5812,-58.4339,0
69086,Monserrat,Entire loft,Entire home/apt,2,1,1,2,74445,1,44,4.26,no,-34.615,-58.3752,18
70082,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,71616,20,52,4.86,no,-34.5693,-58.4437,80
71801,Recoleta,Entire rental unit,Entire home/apt,2,1,,1,105225,3,123,4.57,no,-34.5951,-58.3991,36
72204,Palermo,Entire townhouse,Entire home/apt,8,2,4,5,628401,2,113,4.97,si,-34.5902,-58.4299,150
278433,Palermo,Entire rental unit,Entire home/apt,6,1,2,4,376348,1,10,4.4,no,-34.5795,-58.4291,0
278637,Palermo,Entire home,Entire home/apt,3,1,1,1,139886,1,6,4.5,no,-34.5777,-58.4304,0
280564,Palermo,Entire rental unit,Entire home/apt,2,,2,,,20,12,4.33,no,-34.5794,-58.4289,0
281131,Recoleta,Entire rental unit,Entire home/apt,3,1,1,2,127843,2,54,4.76,no,-34.5964,-58.3919,6
284823,Palermo,Entire rental unit,Entire home/apt,3,,1,,,3,34,4.78,si,-34.5857,-58.4283,0
286683,Palermo,Entire rental unit,Entire home/apt,4,1,2,2,120772,3,53,4.67,no,-34.5834,-58.4371,24
