fecha,hora,estacion_meteorologica,temporada,temperatura,humedad,presion,dir_viento,vel_viento
2025-09-10,0,AEROPARQUE AERO,Primavera,15.6,80.0,1016.7,340.0,9.0
2025-09-10,1,AEROPARQUE AERO,Primavera,15.3,84.0,1016.1,340.0,9.0
2025-09-10,2,AEROPARQUE AERO,Primavera,15.1,85.0,1015.8,340.0,9.0
2025-09-10,3,AEROPARQUE AERO,Primavera,14.8,85.0,1015.2,340.0,9.0
2025-09-10,4,AEROPARQUE AERO,Primavera,15.0,74.0,1015.0,320.0,17.0
2025-09-10,5,AEROPARQUE AERO,Primavera,14.2,78.0,1014.7,320.0,15.0
2025-09-10,6,AEROPARQUE AERO,Primavera,14.5,74.0,1014.6,330.0,15.0
2025-09-10,7,AEROPARQUE AERO,Primavera,13.4,82.0,1014.6,330.0,15.0
2025-09-10,8,AEROPARQUE AERO,Primavera,14.7,78.0,1014.9,360.0,20.0
2025-09-10,9,AEROPARQUE AERO,Primavera,15.5,78.0,1015.9,360.0,17.0
2025-09-10,10,AEROPARQUE AERO,Primavera,16.4,73.0,1016.1,360.0,15.0
2025-09-10,11,AEROPARQUE AERO,Primavera,16.8,76.0,1016.9,990.0,11.0
2025-09-10,12,AEROPARQUE AERO,Primavera,18.1,74.0,1016.7,360.0,13.0
2025-09-10,13,AEROPARQUE AERO,Primavera,18.9,75.0,1015.7,30.0,15.0
2025-09-10,14,AEROPARQUE AERO,Primavera,19.7,73.0,1014.4,40.0,17.0
2025-09-10,15,AEROPARQUE AERO,Primavera,20.1,68.0,1013.3,20.0,19.0
2025-09-10,16,AEROPARQUE AERO,Primavera,20.1,68.0,1015.1,320.0,11.0
2025-09-10,17,AEROPARQUE AERO,Primavera,23.3,46.0,1014.9,300.0,15.0
2025-09-10,18,AEROPARQUE AERO,Primavera,22.6,51.0,1015.7,270.0,6.0
2025-09-10,19,AEROPARQUE AERO,Primavera,22.0,54.0,1017.2,240.0,13.0
2025-09-10,20,AEROPARQUE AERO,Primavera,19.5,61.0,1017.5,990.0,4.0
2025-09-10,21,AEROPARQUE AERO,Primavera,19.0,65.0,1019.2,210.0,9.0
2025-09-10,22,AEROPARQUE AERO,Primavera,17.8,69.0,1020.6,200.0,9.0
2025-09-10,23,AEROPARQUE AERO,Primavera,17.0,70.0,1021.2,220.0,6.0
2025-09-20,0,AEROPARQUE AERO,Primavera,18.2,90.0,1015.2,140.0,15.0
2025-09-20,1,AEROPARQUE AERO,Primavera,17.9,90.0,1014.8,130.0,20.0
2025-09-20,2,AEROPARQUE AERO,Primavera,17.2,92.0,1014.4,110.0,20.0
2025-09-20,3,AEROPARQUE AERO,Primavera,17.0,91.0,1013.7,120.0,22.0
