marca,modelo,anio,clase,traccion,combustible,transmision,cilindros,cilindrada,mpg_ciudad,mpg_ruta,mpg_combinado,co2_g_milla,barriles_anio,costo_combustible_anio,puntaje_gei,ahorro_5anios
Jaguar,F-Type R AWD Coupe,2024,Two Seaters,All-Wheel Drive,Premium,Automatic (S8),8.0,5.0,16,24,18,481.0,16.528,4200,4,-10000
Jaguar,F-Type R AWD Convertible,2024,Two Seaters,All-Wheel Drive,Premium,Automatic (S8),8.0,5.0,16,24,18,481.0,16.528,4200,4,-10000
Jaguar,F-Type P450 RWD Coupe,2024,Two Seaters,Rear-Wheel Drive,Premium,Automatic (S8),8.0,5.0,17,24,19,460.0,15.658,4000,4,-9000
Jaguar,F-Type P450 RWD Convertible,2024,Two Seaters,Rear-Wheel Drive,Premium,Automatic (S8),8.0,5.0,17,24,19,460.0,15.658,4000,4,-9000
Jaguar,F-Type P450 AWD R-Dynamic Coupe,2024,Two Seaters,All-Wheel Drive,Premium,Automatic (S8),8.0,5.0,16,24,18,481.0,16.528,4200,4,-10000
Jaguar,F-Type P450 AWD R-Dynamic Convertible,2024,Two Seaters,All-Wheel Drive,Premium,Automatic (S8),8.0,5.0,16,24,18,481.0,16.528,4200,4,-10000
Chevrolet,Trax,2024,Small Station Wagons,Front-Wheel Drive,Regular,Automatic 6-spd,3.0,1.2,28,32,30,298.0,9.917,2050,6,750
Jaguar,E-Pace,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S9),4.0,2.0,20,26,23,398.0,12.935,3300,5,-5500
Land Rover,Range Rover Evoque,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S9),4.0,2.0,20,27,22,398.0,13.523,3450,5,-6250
Land Rover,Discovery Sport,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S9),4.0,2.0,19,23,20,437.0,14.876,3800,4,-8000
Kia,Seltos FWD,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.0,28,34,31,288.0,9.597,2000,6,1000
Kia,Seltos AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (S8),4.0,1.6,25,27,26,343.0,11.443,2350,5,-750
Kia,Seltos AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.0,27,31,29,309.0,10.259,2100,6,500
MINI,Cooper Convertible,2024,Minicompact Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),3.0,1.5,29,38,32,274.0,9.297,2400,6,-1000
MINI,Cooper Convertible,2024,Minicompact Cars,Front-Wheel Drive,Premium,Manual 6-spd,3.0,1.5,27,38,31,283.0,9.597,2450,6,-1250
MINI,Cooper S Convertible,2024,Minicompact Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),4.0,2.0,27,36,30,293.0,9.917,2550,6,-1750
MINI,Cooper S Convertible,2024,Minicompact Cars,Front-Wheel Drive,Premium,Manual 6-spd,4.0,2.0,23,33,27,329.0,11.019,2800,5,-3000
MINI,John Cooper Works Convertible,2024,Minicompact Cars,Front-Wheel Drive,Premium,Automatic (S8),4.0,2.0,25,33,28,316.0,10.625,2700,6,-2500
BMW,430i Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),4.0,2.0,25,34,28,312.0,10.625,2700,6,-2500
